"StatenIsland","Bronx","Brooklyn","Manhattan","Queens","pape_metric","pape_metric_sd"
"plan","cons","cons","cons","cons",0.000536100432602245,0.00098548932401976
"cons","cons","cons","cons","cons",-6.78722588995845e-05,5.21762973553345e-05
"combo","cons","cons","cons","cons",-0.000910026772638512,0.00116526898350369
"plan","combo","cons","cons","cons",0.000512833330282784,0.00233208066456615
"cons","combo","cons","cons","cons",-9.1139361219021e-05,0.00216841274286682
"combo","combo","cons","cons","cons",-0.000933293874957959,0.00232339080293316
"plan","plan","combo","cons","cons",0.00695268596370936,0.00277994847481213
"cons","plan","combo","cons","cons",0.00634871327220752,0.00274397012184948
"combo","plan","combo","cons","cons",0.00550655875846861,0.00279434530794671
"plan","cons","combo","cons","cons",0.00456277275202037,0.0024913100372041
"cons","cons","combo","cons","cons",0.00395880006051854,0.00234973315822879
"combo","cons","combo","cons","cons",0.00311664554677961,0.00245603746397649
"plan","combo","combo","cons","cons",0.00453950564970094,0.00265987812079046
"cons","combo","combo","cons","cons",0.00393553295819909,0.00257321827095971
"combo","combo","combo","cons","cons",0.00309337844446019,0.00254427355867923
"plan","plan","plan","combo","cons",0.00443772294915465,0.00255703490779064
"cons","plan","plan","combo","cons",0.00383375025765286,0.00262112918980508
"combo","plan","plan","combo","cons",0.00299159574391389,0.0026629286802698
"plan","cons","plan","combo","cons",0.00204780973746566,0.00267257669050279
"cons","cons","plan","combo","cons",0.0014438370459638,0.00264346715187096
"combo","cons","plan","combo","cons",0.000601682532224876,0.00272775914418981
"plan","combo","plan","combo","cons",0.00202454263514621,0.00279826125609096
"cons","combo","plan","combo","cons",0.00142056994364439,0.00281200976400808
"combo","combo","plan","combo","cons",0.000578415429905454,0.00277509492457183
"plan","plan","cons","combo","cons",0.00175528867025841,0.00264987715880439
"cons","plan","cons","combo","cons",0.00115131597875659,0.00260020686067148
"combo","plan","cons","combo","cons",0.000309161465017636,0.00269537264584982
"plan","cons","cons","combo","cons",-0.000634624541430603,0.00229379335218883
"cons","cons","cons","combo","cons",-0.0012385972329324,0.00212463559475244
"combo","cons","cons","combo","cons",-0.00208075174667137,0.0022912692620765
"plan","combo","cons","combo","cons",-0.000657891643750019,0.00266096710611701
"cons","combo","cons","combo","cons",-0.00126186433525184,0.00256226752055972
"combo","combo","cons","combo","cons",-0.00210401884899076,0.00257721842876772
"plan","plan","combo","combo","cons",0.00578196098967649,0.00278045978110456
"cons","plan","combo","combo","cons",0.00517798829817468,0.0027844695026211
"combo","plan","combo","combo","cons",0.00433583378443577,0.00272267755424796
