"StatenIsland","Bronx","Brooklyn","Manhattan","Queens","pape_metric","pape_metric_sd"
"control","combo","control","plan","control",0.0103359140792997,0.00233650871110658
"plan","control","control","plan","control",0.00562655056154267,0.00155347736020807
"cons","control","control","plan","control",0.00502531506584517,0.00161624142280766
"combo","control","control","plan","control",0.00418042206026865,0.00173707307698052
"control","control","control","plan","control",0.00945534445586162,0.00142402421179931
"plan","plan","plan","cons","control",0.0141723174425384,0.00204281639750408
"cons","plan","plan","cons","control",0.0135710819468409,0.00212081454402716
"combo","plan","plan","cons","control",0.0127261889412644,0.00226364665480791
"control","plan","plan","cons","control",0.0180011113368574,0.0020871030765627
"plan","cons","plan","cons","control",0.0117939477349155,0.00217704178379075
"cons","cons","plan","cons","control",0.011192712239218,0.00213953923334675
"combo","cons","plan","cons","control",0.0103478192336415,0.00233146958329526
"control","cons","plan","cons","control",0.0156227416292345,0.00216047529312543
"plan","combo","plan","cons","control",0.0117591295928586,0.00268706261167985
"cons","combo","plan","cons","control",0.0111578940971611,0.00270005613291317
"combo","combo","plan","cons","control",0.0103130010915845,0.00273668174428452
"control","combo","plan","cons","control",0.0155879234871775,0.00267365817615535
"plan","control","plan","cons","control",0.0108785599694205,0.00209274762974245
"cons","control","plan","cons","control",0.010277324473723,0.00210940519663409
"combo","control","plan","cons","control",0.00943243146814648,0.00225296074782779
"control","control","plan","cons","control",0.0147073538637395,0.00205151585936155
"plan","plan","cons","cons","control",0.0115040625859826,0.00214685130652458
"cons","plan","cons","cons","control",0.0109028270902851,0.00208352155739108
"combo","plan","cons","cons","control",0.0100579340847085,0.00229137316536098
"control","plan","cons","cons","control",0.0153328564803015,0.00211714289959626
"plan","cons","cons","cons","control",0.00912569287835964,0.00167653898422286
"cons","cons","cons","cons","control",0.00852445738266215,0.00143395823503325
"combo","cons","cons","cons","control",0.0076795643770856,0.00178814025226709
"control","cons","cons","cons","control",0.0129544867726786,0.0015586367877579
"plan","combo","cons","cons","control",0.00909087473630272,0.00253441031068493
"cons","combo","cons","cons","control",0.00848963924060521,0.00242910874936505
"combo","combo","cons","cons","control",0.00764474623502868,0.00252641647794206
"control","combo","cons","cons","control",0.0129196686306217,0.00245800758612323
"plan","control","cons","cons","control",0.00821030511286467,0.0018927553422487
"cons","control","cons","cons","control",0.00760906961716717,0.00174924454520994
"combo","control","cons","cons","control",0.00676417661159064,0.00199228145144449
"control","control","cons","cons","control",0.0120390990071837,0.00176126959087159
"plan","plan","combo","cons","control",0.0155165463684067,0.00276956735298877
"cons","plan","combo","cons","control",0.0149153108727092,0.00277230624673492
"combo","plan","combo","cons","control",0.0140704178671326,0.00278401786994529
"control","plan","combo","cons","control",0.0193453402627256,0.00274660278302593
"plan","cons","combo","cons","control",0.0131381766607838,0.00264650219395414
"cons","cons","combo","cons","control",0.0125369411650862,0.00255587835625288
"combo","cons","combo","cons","control",0.0116920481595098,0.00261332512052869
"control","cons","combo","cons","control",0.0169669705551027,0.00257342952752496
"plan","combo","combo","cons","control",0.0131033585187268,0.00264902650375392
"cons","combo","combo","cons","control",0.0125021230230293,0.00260341356032491
"combo","combo","combo","cons","control",0.0116572300174528,0.0025329267145982
"control","combo","combo","cons","control",0.0169321524130458,0.00257602544399778
"plan","control","combo","cons","control",0.0122227888952888,0.002577606559587
"cons","control","combo","cons","control",0.0116215533995913,0.00253070668480542
"combo","control","combo","cons","control",0.0107766603940148,0.00254353099037698
"control","control","combo","cons","control",0.0160515827896078,0.00248266054106152
"plan","plan","control","cons","control",0.011415693303655,0.00205960160079636
"cons","plan","control","cons","control",0.0108144578079575,0.00206328314996928
"combo","plan","control","cons","control",0.00996956480238096,0.00220983691810347
"control","plan","control","cons","control",0.015244487197974,0.00199820398609561
"plan","cons","control","cons","control",0.00903732359603211,0.00189088056044421
"cons","cons","control","cons","control",0.00843608810033458,0.00176180861708179
"combo","cons","control","cons","control",0.00759119509475807,0.00199050041196294
"control","cons","control","cons","control",0.0128661174903511,0.0017525786303216
"plan","combo","control","cons","control",0.00900250545397516,0.00246093962635875
"cons","combo","control","cons","control",0.00840126995827765,0.00241177208564069
"combo","combo","control","cons","control",0.00755637695270112,0.00245270635048182
"control","combo","control","cons","control",0.0128312993482941,0.00235633749835987
"plan","control","control","cons","control",0.00812193583053714,0.001650398051293
"cons","control","control","cons","control",0.00752070033483963,0.00157614544893695
"combo","control","control","cons","control",0.0066758073292631,0.00176365425292786
"control","control","control","cons","control",0.0119507297248561,0.00145633045868395
"plan","plan","plan","combo","control",0.012991038349218,0.00237858550246641
"cons","plan","plan","combo","control",0.0123898028535205,0.00249067858192974
"combo","plan","plan","combo","control",0.011544909847944,0.00249207356012758
"control","plan","plan","combo","control",0.016819832243537,0.00241672700378617
"plan","cons","plan","combo","control",0.0106126686415952,0.0026677454902036
"cons","cons","plan","combo","control",0.0100114331458976,0.00267881289246849
"combo","cons","plan","combo","control",0.00916654014032111,0.00272302585051885
"control","cons","plan","combo","control",0.0144414625359141,0.00265424350132693
"plan","combo","plan","combo","control",0.0105778504995382,0.00263619186142118
"cons","combo","plan","combo","control",0.00997661500384069,0.00269082895809305
"combo","combo","plan","combo","control",0.00913172199826419,0.00261158827407151
"control","combo","plan","combo","control",0.0144066443938572,0.0026225274248438
"plan","control","plan","combo","control",0.00969728087610014,0.00242160335324025
"cons","control","plan","combo","control",0.00909604538040262,0.00248097072774213
"combo","control","plan","combo","control",0.0082511523748261,0.00248237116131265
"control","control","plan","combo","control",0.0135260747704191,0.00238606108049307
"plan","plan","cons","combo","control",0.0103227834926622,0.00268017462609595
"cons","plan","cons","combo","control",0.00972154799696467,0.00267141963829165
"combo","plan","cons","combo","control",0.00887665499138813,0.00272516435643996
"control","plan","cons","combo","control",0.0141515773869811,0.00265643737952792
"plan","cons","cons","combo","control",0.00794441378503928,0.00250558044635576
"cons","cons","cons","combo","control",0.00734317828934178,0.00239675654522014
"combo","cons","cons","combo","control",0.00649828528376524,0.00250326991392284
"control","cons","cons","combo","control",0.0117732076793582,0.00242827079290872
"plan","combo","cons","combo","control",0.00790959564298235,0.00269113972313815
"cons","combo","cons","combo","control",0.00730836014728486,0.00263450602817349
"combo","combo","cons","combo","control",0.00646346714170833,0.00260836000183934
"control","combo","cons","combo","control",0.0117383895373013,0.0026193126350219
"plan","control","cons","combo","control",0.00702902601954428,0.00248130777608367
"cons","control","cons","combo","control",0.00642779052384679,0.00241976802249382
"combo","control","cons","combo","control",0.00558289751827024,0.00247897462037114
"control","control","cons","combo","control",0.0108578199138633,0.00238252724344786
"plan","plan","combo","combo","control",0.0143352672750863,0.00261728830418498
"cons","plan","combo","combo","control",0.0137340317793888,0.00266203530777906
"combo","plan","combo","combo","control",0.0128891387738123,0.00255581973880968
"control","plan","combo","combo","control",0.0181640611694053,0.00259297543224151
"plan","cons","combo","combo","control",0.0119568975674634,0.00266016043136225
"cons","cons","combo","combo","control",0.0113556620717659,0.00261267088238029
"combo","cons","combo","combo","control",0.0105107690661894,0.00255023766268945
"control","cons","combo","combo","control",0.0157856914617824,0.00258747351505646
"plan","combo","combo","combo","control",0.0119220794254065,0.00210752652523681
"cons","combo","combo","combo","control",0.0113208439297089,0.00210312722220132
"combo","combo","combo","combo","control",0.0104759509241324,0.0018552112200888
"control","combo","combo","combo","control",0.0157508733197254,0.00201500216503853
"plan","control","combo","combo","control",0.0110415098019684,0.00241324477011931
"cons","control","combo","combo","control",0.0104402743062709,0.00240940373924665
"combo","control","combo","combo","control",0.00959538130069439,0.00229150800481311
"control","control","combo","combo","control",0.0148703036962874,0.00231155750666648
"plan","plan","control","combo","control",0.0102344142103346,0.00239301669710738
"cons","plan","control","combo","control",0.00963317871463709,0.00244187690624929
"combo","plan","control","combo","control",0.00878828570906057,0.00244329974744749
"control","plan","control","combo","control",0.0140632081046536,0.00234038230395809
"plan","cons","control","combo","control",0.00785604450271174,0.00243983285615975
"cons","cons","control","combo","control",0.00725480900701422,0.00238796565826418
"combo","cons","control","combo","control",0.0064099160014377,0.00243746000065387
"control","cons","control","combo","control",0.0116848383970307,0.00233428509989478
"plan","combo","control","combo","control",0.0078212263606548,0.00240529122887817
"cons","combo","control","combo","control",0.00721999086495728,0.00240143747657643
"combo","combo","control","combo","control",0.00637509785938078,0.0023123007558407
"control","combo","control","combo","control",0.0116500202549738,0.00229815762238198
"plan","control","control","combo","control",0.00694065673721675,0.00205143459226551
"cons","control","control","combo","control",0.00633942124151923,0.002046914737973
"combo","control","control","combo","control",0.00549452823594272,0.00204861191423229
"control","control","control","combo","control",0.0107694506315357,0.00189880714226653
"plan","plan","plan","control","control",0.00222158771768228,0.00171786900195343
"cons","plan","plan","control","control",0.00162035222198477,0.00186999591277967
"combo","plan","plan","control","control",0.000775459216408251,0.00197536610575962
"control","plan","plan","control","control",0.0060503816120013,0.00174485735885909
"plan","cons","plan","control","control",-0.000156781989940596,0.0021000645027786
"cons","cons","plan","control","control",-0.000758017485638115,0.00211410582237136
"combo","cons","plan","control","control",-0.00160291049121463,0.00225975892636601
"control","cons","plan","control","control",0.00367201190437841,0.00206130210213633
"plan","combo","plan","control","control",-0.000191600131997563,0.00244913873699483
"cons","combo","plan","control","control",-0.000792835627695083,0.0025078543627048
"combo","combo","plan","control","control",-0.0016377286332716,0.00250347798941015
"control","combo","plan","control","control",0.00363719376232145,0.00241598344230452
"plan","control","plan","control","control",-0.00107216975543559,0.00167202029104869
"cons","control","plan","control","control",-0.00167340525113311,0.00175690204768718
"combo","control","plan","control","control",-0.00251829825670963,0.00186866030704852
"control","control","plan","control","control",0.0027566241388834,0.00159227177633223
"plan","plan","cons","control","control",-0.000446667138873572,0.00211583102862626
"cons","plan","cons","control","control",-0.00104790263457108,0.00210472986370683
"combo","plan","cons","control","control",-0.00189279564014762,0.0022623353845767
"control","plan","cons","control","control",0.00338212675544542,0.00206412629053762
"plan","cons","cons","control","control",-0.00282503684649647,0.00188979847827471
"cons","cons","cons","control","control",-0.00342627234219397,0.00174294201062017
"combo","cons","cons","control","control",-0.00427116534777051,0.00198947251417259
"control","cons","cons","control","control",0.00100375704782254,0.0017608114139876
"plan","combo","cons","control","control",-0.00285985498855343,0.00250818779844682
"cons","combo","cons","control","control",-0.00346109048425092,0.00244732405604731
"combo","combo","cons","control","control",-0.00430598348982746,0.00250011012345228
"control","combo","cons","control","control",0.000968938905765585,0.00241249343613969
"plan","control","cons","control","control",-0.00374042461199145,0.00175737797098615
"cons","control","cons","control","control",-0.00434166010768894,0.00166936105619418
"combo","control","cons","control","control",-0.00518655311326549,0.00186414589800964
"control","control","cons","control","control",8.83692823275375e-05,0.00158697132791734
"plan","plan","combo","control","control",0.00356581664355054,0.00253938543681382
"cons","plan","combo","control","control",0.00296458114785301,0.00258548105955951
"combo","plan","combo","control","control",0.00211968814227652,0.00255513807339949
"control","plan","combo","control","control",0.00739461053786954,0.00249646846531115
"plan","cons","combo","control","control",0.00118744693592766,0.00258355062850798
"cons","cons","combo","control","control",0.000586211440230137,0.00253462610045672
"combo","cons","combo","control","control",-0.000258681565346354,0.00254955450481966
"control","cons","combo","control","control",0.00501624083024667,0.00249075337944237
"plan","combo","combo","control","control",0.00115262879387069,0.0024073463588673
"cons","combo","combo","control","control",0.00055139329817317,0.0024034959017521
"combo","combo","combo","control","control",-0.00029349970740335,0.00227896748890504
"control","combo","combo","control","control",0.0049814226881897,0.00230747373521157
"plan","control","combo","control","control",0.000272059170432662,0.00224946989042125
"cons","control","combo","control","control",-0.000329176325264857,0.00224534871369668
"combo","control","combo","control","control",-0.00117406933084135,0.00221034140143418
"control","control","combo","control","control",0.00410085306475165,0.00211901284815268
"plan","plan","control","control","control",-0.000535036421201074,0.00160387759339077
"cons","plan","control","control","control",-0.00113627191689861,0.00167590490399063
"combo","plan","control","control","control",-0.00198116492247513,0.00179271966162897
"control","plan","control","control","control",0.00329375747311787,0.00149460249806856
"plan","cons","control","control","control",-0.00291340612882396,0.00167292521887348
"cons","cons","control","control","control",-0.00351464162452148,0.00159633154670178
"combo","cons","control","control","control",-0.004359534630098,0.0017847524713813
"control","cons","control","control","control",0.000915387765495001,0.00148503677602387
"plan","combo","control","control","control",-0.00294822427088093,0.00209444227066797
"cons","combo","control","control","control",-0.00354945976657845,0.00209001542658142
"combo","combo","control","control","control",-0.00439435277215497,0.00208476210208069
"control","combo","control","control","control",0.000880569623438033,0.0019476508576645
"plan","control","control","control","control",-0.00382879389431896,0.000832083196690565
"cons","control","control","control","control",-0.00443002939001648,0.00082087666820438
"combo","control","control","control","control",-0.005274922395593,0.00103876130192339
"control","control","control","control","control",0,2.71496498504506e-12
"plan","plan","plan","plan","plan",-2.77557066685902e-17,1.95050467336833e-05
