"StatenIsland","Bronx","Brooklyn","Manhattan","Queens","pape_metric","pape_metric_sd"
"control","plan","control","cons","plan",0.00356755502443,0.00211101333576737
"plan","cons","control","cons","plan",-0.00263960857751184,0.00213500544706454
"cons","cons","control","cons","plan",-0.00324084407320939,0.00207177051864789
"combo","cons","control","cons","plan",-0.00408573707878589,0.00226943943931966
"control","cons","control","cons","plan",0.00118918531680712,0.00208477867110004
"plan","combo","control","cons","plan",-0.00267442671956879,0.00265311944882099
"cons","combo","control","cons","plan",-0.00327566221526632,0.00264667868691886
"combo","combo","control","cons","plan",-0.00412055522084285,0.00268403277185819
"control","combo","control","cons","plan",0.00115436717475017,0.00261287134359704
"plan","control","control","cons","plan",-0.00355499634300685,0.00201298827131062
"cons","control","control","cons","plan",-0.00415623183870437,0.00200449171674828
"combo","control","control","cons","plan",-0.0050011248442809,0.00215504730578666
"control","control","control","cons","plan",0.000273797551312112,0.00193420726513402
"plan","plan","plan","combo","plan",0.00131410617567407,0.00210230314160016
"cons","plan","plan","combo","plan",0.000712870679976507,0.00227396873740769
"combo","plan","plan","combo","plan",-0.000132022325600013,0.00227549657202795
"control","plan","plan","combo","plan",0.00514290006999296,0.00221235851623376
"plan","cons","plan","combo","plan",-0.00106426353194883,0.0025865203701913
"cons","cons","plan","combo","plan",-0.00166549902764635,0.00263717740232882
"combo","cons","plan","combo","plan",-0.00251039203322287,0.00268207679254198
"control","cons","plan","combo","plan",0.00276453036237011,0.00262872240377972
"plan","combo","plan","combo","plan",-0.00109908167400577,0.00255396342086886
"cons","combo","plan","combo","plan",-0.00170031716970329,0.00264938230918275
"combo","combo","plan","combo","plan",-0.0025452101752798,0.00256886345525919
"control","combo","plan","combo","plan",0.00272971222031317,0.00259669463084419
"plan","control","plan","combo","plan",-0.00197965129744383,0.00240476059368293
"cons","control","plan","combo","plan",-0.00258088679314135,0.00250586731053434
"combo","control","plan","combo","plan",-0.00342577979871786,0.0025072538380882
"control","control","plan","combo","plan",0.00184914259687513,0.00242980441172409
"plan","plan","cons","combo","plan",-0.00135414868088178,0.00263210959404651
"cons","plan","cons","combo","plan",-0.0019553841765793,0.00266206541732897
"combo","plan","cons","combo","plan",-0.00280027718215585,0.00271599524519087
"control","plan","cons","combo","plan",0.00247464521343713,0.00266332043264428
"plan","cons","cons","combo","plan",-0.00373251838850468,0.00261415576814731
